NUTSID,NUTSName,Year,CDUCSU,SPD,B90GR,PDS,FDP,REP,BFB,Graue,DP,APD,STATT,PASS,BP,Forum,PBC,Natur,DSU,NPD,CM,CL,Autonome,BSo,PEAD,BSA,FAMILIE,Other,Electorate,Votes,Validvotes,Invalidvotes
DEG0A,Kyffhäuserkreis,1994,20143,15734,2694,9632,2640,1866,306,429,97,430,156,560,66,578,53,232,460,140,43,66,23,38,33,23,0,3427,77236,58735,56442,2293
DEG0B,Schmalkalden-Meiningen,1994,33063,19513,4400,13111,3601,2304,450,742,226,736,491,610,81,994,143,270,728,141,81,110,49,70,35,17,0,5524,115489,85260,81966,3294
DEG0C,Gotha,1994,29765,23486,5354,11325,3912,2045,560,859,209,859,900,658,102,1031,123,315,1041,321,75,109,68,74,44,29,0,6817,118726,86224,83264,2960
DEG0D,Sömmerda,1994,18174,10977,2755,6543,2455,1251,342,355,107,486,167,418,63,530,33,178,237,105,31,51,25,47,15,18,0,2866,63072,47110,45363,1747
DEG0E,Hildburghausen,1994,15667,11461,1971,6782,2700,1235,205,214,288,406,121,294,63,465,26,161,530,89,20,27,25,34,18,20,0,2801,58645,44745,42822,1923
DEG0F,Ilm-Kreis,1994,24844,17933,3658,10920,2635,2176,475,571,187,730,295,690,101,1514,96,248,1358,279,47,86,72,81,34,25,0,6414,96340,71756,69055,2701
DEG0G,Weimarer Land,1994,18541,11240,2795,6405,2722,1357,416,489,151,951,204,422,79,648,59,188,271,160,44,47,41,50,15,18,0,3837,66703,49379,47313,2066
DEG0H,Sonneberg,1994,13849,11270,1789,7724,2025,1722,269,263,117,289,117,224,55,460,69,133,469,51,49,32,28,21,17,19,0,2413,56990,42692,41061,1631
DEG0I,Saalfeld-Rudolstadt,1994,26562,19841,4144,13115,3516,2758,592,661,209,783,345,718,88,1118,77,321,754,209,83,77,85,54,42,34,0,5658,110099,79027,76186,2841
DEG0J,Saale-Holzland-Kreis,1994,17756,12118,3128,7599,3035,1718,465,499,165,524,236,458,107,819,38,273,379,125,61,85,46,81,29,16,0,3941,70775,52013,49760,2253
DEG0K,Saale-Orla-Kreis,1994,20640,14998,2925,8957,2674,2674,377,437,166,514,233,468,82,606,134,233,776,115,97,79,45,47,24,26,0,4082,79659,59606,57327,2279
DEG0L,Greiz,1994,26252,18774,3910,9825,2804,2437,622,675,179,797,301,663,122,1099,147,311,882,164,90,93,52,93,36,33,0,5737,99732,73152,70361,2791
DEG0M,Altenburger Land,1994,24078,16610,3455,10666,2061,2121,480,578,138,605,388,702,90,883,174,236,668,185,59,80,64,56,39,26,0,4971,97420,67338,64442,2896
DEG0N,"Eisenach, Kreisfreie Stadt",1994,7643,6477,1795,4188,637,513,130,284,90,212,213,192,25,342,35,57,132,61,24,27,16,26,6,8,0,1750,37168,23674,23133,541
DEG0P,Wartburgkreis,1994,32734,23912,4380,11605,3383,2720,401,554,175,667,469,549,79,774,100,281,558,195,85,87,40,69,34,24,0,4740,115089,87151,83875,3276
DE11,Stuttgart,1994,670388,456447,225905,8461,94856,121412,16844,10236,22618,10957,14595,1842,2521,1446,12202,5060,562,3364,4309,3331,1489,924,434,344,0,96234,2638075,1764360,1690547,73813
DE12,Karlsruhe,1994,483443,338553,145609,6624,54669,66476,15120,6284,9563,6890,8934,1383,1298,931,6939,3096,346,3259,2543,2544,956,436,257,221,0,55880,1874574,1227809,1166374,61435
DE13,Freiburg,1994,395923,238916,133446,4617,48421,38171,7748,5669,13502,5470,6613,1186,1191,952,5244,3044,354,1999,2726,2120,1099,320,234,228,0,51951,1486645,974271,919193,55078
DE14,Tübingen,1994,362739,176560,95481,3376,37258,44906,9865,4366,16807,5146,5390,1081,1253,700,4815,2765,296,1774,2582,3005,770,322,181,160,0,51413,1198216,816302,781598,34704
DE21,Oberbayern,1994,765958,352378,168223,7361,67115,108216,57538,7325,32927,9962,6780,1920,35236,1397,2493,4286,611,1503,2088,2433,1251,665,364,231,0,111472,2829025,1651921,1638261,13660
DE22,Niederbayern,1994,232362,86547,21718,845,9696,34801,4697,1412,13554,1707,866,454,9161,138,555,850,179,514,759,434,236,113,69,75,0,31076,848925,425494,421742,3752
DE23,Oberpfalz,1994,233659,113993,24629,1290,9425,29647,3270,1527,9947,1966,1018,469,7146,167,791,1074,267,496,740,503,308,231,56,103,0,26809,795224,447407,442722,4685
DE24,Oberfranken,1994,228105,143245,33093,1565,12153,27484,4249,1602,7068,2114,1289,629,4888,298,1786,893,174,696,838,519,339,99,80,65,0,23377,850956,477710,473271,4439
DE25,Mittelfranken,1994,304986,195384,71034,3803,24367,46407,7545,4037,13409,3724,3497,1157,5220,596,2509,1701,391,1770,1632,580,675,326,174,127,0,41525,1218797,701301,695051,6250
DE26,Unterfranken,1994,289053,133138,49856,2027,17215,31576,5366,2489,10939,2998,2202,783,4415,339,1359,1302,448,889,1313,857,516,252,111,127,0,31339,975663,565577,559570,6007
DE27,Schwaben,1994,339251,137432,59180,1937,23428,44571,8005,3332,19129,3508,2499,753,11749,414,2088,1960,323,1301,1856,1369,551,350,166,99,0,51447,1240050,671130,665251,5879
DE30,Berlin,1994,375889,372559,189176,211055,42310,44197,11529,21670,7242,11401,6735,6841,949,6073,2043,4739,2035,2253,1203,543,2374,1113,583,635,0,78432,2513128,1343515,1325147,18368
DE41,Brandenburg - Nordost,1994,76609,128573,15545,80850,9209,8373,2822,2759,1245,3461,774,4762,484,1846,693,1222,1153,1079,716,597,331,460,291,281,0,22154,864846,350646,344135,6511
DE42,Brandenburg - Südwest,1994,107488,161914,20378,96896,12300,9975,4068,3703,1906,4546,1080,5744,569,2297,874,1732,2006,1203,911,809,658,585,405,329,0,29357,1068013,450786,442376,8410
DE50,Bremen,1994,74523,108511,42766,5519,12158,8000,2603,3540,512,1313,2055,524,191,323,542,944,296,722,384,121,603,129,57,143,0,12399,511455,269668,266479,3189
DE60,Hamburg,1994,204760,220503,117417,8919,23419,19671,9704,7867,1817,2682,11670,891,565,873,978,1874,296,957,773,240,800,192,103,141,0,32719,1245025,644190,637112,7078
DE71,Darmstadt,1994,537540,453813,193995,13049,70755,68953,23996,11114,7797,10432,6977,2715,2527,1417,3921,4569,836,5646,2675,1192,1896,672,392,421,0,65199,2564537,1452561,1427300,25261
DE72,Gießen,1994,149232,153424,45435,3283,17727,20167,4742,2259,2102,3098,1684,726,565,391,2579,1056,232,1985,1250,787,455,175,95,160,0,19599,774579,420471,413609,6862
DE73,Kassel,1994,194599,225401,52435,3424,22712,20013,5079,3003,2328,3350,2165,883,655,421,1536,1246,364,1591,1307,503,393,150,86,146,0,20127,961801,553024,543790,9234
DE80,Mecklenburg-Vorpommern,1994,283940,190287,40269,230815,19041,21596,7846,5741,2310,8163,2777,7920,1232,6868,1592,2325,2693,2463,957,1292,957,1926,958,464,0,50638,1380514,908563,844432,64131
DE91,Braunschweig,1994,271142,289584,65539,5233,24939,17616,6297,3425,1649,2876,2073,832,666,572,1926,1219,383,1536,907,261,895,231,109,156,0,19716,1297477,707351,700066,7285
DE92,Hannover,1994,318929,353827,87520,6923,34503,25358,8101,6012,2569,3588,2944,1095,820,693,1843,1758,665,1488,1513,379,1011,372,180,193,0,27123,1628230,871728,862284,9444
DE93,Lüneburg,1994,256270,228268,68562,4091,25651,16904,8475,3347,1872,2775,3366,782,580,402,1584,1466,339,1440,950,324,607,231,99,131,0,20295,1218785,634423,628516,5907
DE94,Weser-Ems,1994,369918,343027,77159,4993,34462,14401,6618,3731,2264,2952,2837,1018,563,490,1472,1834,394,1099,1561,410,959,257,142,213,0,22196,1736762,883705,872774,10931
